trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
444,False,"{'a': 0.99, 'e': 0.01153523379838384}",25,19,14.395663197905135,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.99, 'e': 0.011419881460400001}",25,15,20.94776740437546,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.99, 'e': 0.011305682645796001}",25,6,30.043952030666407,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.99, 'e': 0.011192625819338041}",20,9,20.331441826030485,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.99, 'e': 0.011080699561144661}",25,6,29.341503969178817,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.99, 'e': 0.010969892565533214}",20,9,17.183424947764813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.99, 'e': 0.010860193639877882}",30,15,29.645898670506405,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.99, 'e': 0.010751591703479103}",20,6,21.909221199999898,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.99, 'e': 0.010644075786444312}",20,4,25.69003555564646,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.99, 'e': 0.01053763502857987}",20,11,13.99298445904504,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.99, 'e': 0.01043225867829407}",20,12,13.83987251419783,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.99, 'e': 0.01032793609151113}",20,8,22.469960898238572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.99, 'e': 0.010224656730596018}",30,24,13.475341953670707,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.99, 'e': 0.010122410163290057}",30,22,13.470121421853822,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.99, 'e': 0.010021186061657156}",25,15,11.603867779212127,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.99, 'e': 0.009920974201040586}",20,7,24.869381033322558,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.99, 'e': 0.009821764459030179}",25,13,21.167787422440778,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.99, 'e': 0.009723546814439878}",30,4,47.016093240441606,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.99, 'e': 0.009626311346295479}",30,4,39.17501401467468,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.99, 'e': 0.009530048232832523}",20,8,20.476138134513764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.99, 'e': 0.009434747750504199}",25,6,29.611500981452377,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.99, 'e': 0.009340400272999157}",25,12,26.52066706646075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.99, 'e': 0.009246996270269165}",20,9,20.220380416243948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.99, 'e': 0.009154526307566474}",30,16,21.944834866257864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.99, 'e': 0.009062981044490808}",25,7,32.19036258886383,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.99, 'e': 0.0089723512340459}",25,3,30.40352428698558,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.99, 'e': 0.00888262772170544}",30,22,13.697152933821107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.99, 'e': 0.008793801444488386}",20,0,38.79155909349135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
472,False,"{'a': 0.99, 'e': 0.008705863430043502}",25,9,30.771549989288797,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.99, 'e': 0.008618804795743068}",25,15,17.695019663139387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.99, 'e': 0.008532616747785637}",20,6,25.68817075881491,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.99, 'e': 0.00844729058030778}",20,12,11.44410000924301,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.99, 'e': 0.008362817674504702}",25,8,29.656580543169685,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.99, 'e': 0.008279189497759656}",25,20,10.776056265175312,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.99, 'e': 0.008196397602782058}",25,13,22.92454090946911,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.99, 'e': 0.008114433626754238}",25,11,24.163056453764437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.99, 'e': 0.008033289290486696}",30,18,21.39774802198657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.99, 'e': 0.00795295639758183}",30,15,26.981044049671763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.99, 'e': 0.00787342683360601}",25,20,7.160642708627862,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.99, 'e': 0.0077946925652699495}",20,10,23.17702527375148,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.99, 'e': 0.00771674563961725}",20,6,28.171453276737083,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.99, 'e': 0.007639578183221077}",30,21,19.840215270332674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.99, 'e': 0.0075631824013888665}",25,15,12.608267848121478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.99, 'e': 0.0074875505773749785}",30,12,28.146849773668634,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.99, 'e': 0.007412675071601228}",25,11,28.30231043307443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.99, 'e': 0.007338548320885216}",25,5,33.507962218659905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
490,False,"{'a': 0.99, 'e': 0.0072651628376763635}",30,15,26.034007542744266,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.99, 'e': 0.0071925112092996}",25,12,23.97577737415756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
